313,DOW,Dow Inc.,27.15B
314,FTV,Fortive Corporation,26.99B
315,PPG,"PPG Industries, Inc.",26.61B
316,SYF,Synchrony Financial,26.21B
317,CPAY,"Corpay, Inc.",26.20B
318,EXPE,"Expedia Group, Inc.",26.06B
319,TYL,"Tyler Technologies, Inc.",25.95B
320,AEE,Ameren Corporation,25.92B
321,CHD,"Church & Dwight Co., Inc.",25.73B
322,VTR,"Ventas, Inc.",25.63B
323,CDW,CDW Corporation,25.59B
324,DECK,Deckers Outdoor Corporation,25.53B
325,DTE,DTE Energy Company,25.41B
326,PPL,PPL Corporation,25.19B
327,NTAP,"NetApp, Inc.",24.99B
328,WBD,"Warner Bros. Discovery, Inc.",24.92B
329,LYB,LyondellBasell Industries N.V.,24.85B
330,HBAN,Huntington Bancshares Incorporated,24.60B
331,TROW,"T. Rowe Price Group, Inc.",24.56B
332,VLTO,Veralto Corporation,24.44B
333,WAT,Waters Corporation,24.31B
334,ROL,"Rollins, Inc.",24.25B
335,FOXA,Fox Corporation,23.94B
336,AWK,"American Water Works Company, Inc.",23.87B
337,TDY,Teledyne Technologies Incorporated,23.84B
338,EL,The Estée Lauder Companies Inc.,23.39B
339,WRB,W. R. Berkley Corporation,23.38B
340,FOX,Fox Corporation,23.30B
341,WST,"West Pharmaceutical Services, Inc.",23.29B
342,FE,FirstEnergy Corp.,23.14B
343,DRI,"Darden Restaurants, Inc.",23.10B
344,NVR,"NVR, Inc.",22.76B
345,ATO,Atmos Energy Corporation,22.62B
346,WDC,Western Digital Corporation,22.42B
347,NTRS,Northern Trust Corporation,22.24B
348,RF,Regions Financial Corporation,22.22B
349,SBAC,SBA Communications Corporation,22.13B
350,HAL,Halliburton Company,22.13B
351,CBOE,"Cboe Global Markets, Inc.",22.11B
352,STE,STERIS plc,22.03B
353,ADM,Archer-Daniels-Midland Company,21.90B
354,ON,ON Semiconductor Corporation,21.82B
355,WY,Weyerhaeuser Company,21.81B
356,DVN,Devon Energy Corporation,21.78B
357,ES,Eversource Energy,21.77B
358,IFF,International Flavors & Fragrances Inc.,21.56B
359,ERIE,Erie Indemnity Company,21.56B
360,HUBB,Hubbell Incorporated,21.52B
361,PHM,"PulteGroup, Inc.",21.43B
362,CINF,Cincinnati Financial Corporation,21.41B
363,SMCI,"Super Micro Computer, Inc.",21.24B
364,CNP,"CenterPoint Energy, Inc.",21.12B
365,CFG,"Citizens Financial Group, Inc.",21.12B
366,VRSN,"VeriSign, Inc.",21.03B
367,MKC,"McCormick & Company, Incorporated",21.01B
368,NRG,"NRG Energy, Inc.",20.87B
369,TSN,"Tyson Foods, Inc.",20.64B
370,BIIB,Biogen Inc.,20.60B
371,LH,Labcorp Holdings Inc.,20.54B
372,CMS,CMS Energy Corporation,20.53B
373,LII,Lennox International Inc.,20.49B
374,STX,Seagate Technology Holdings plc,20.36B
375,PTC,PTC Inc.,20.34B
376,CTRA,Coterra Energy Inc.,20.17B
377,ZBH,"Zimmer Biomet Holdings, Inc.",20.09B
378,PODD,Insulet Corporation,19.86B
379,KEY,KeyCorp,19.75B
380,ESS,"Essex Property Trust, Inc.",19.46B
381,INVH,Invitation Homes Inc.,19.43B
382,EIX,Edison International,19.39B
383,STLD,"Steel Dynamics, Inc.",19.29B
384,LDOS,"Leidos Holdings, Inc.",18.98B
385,MAA,"Mid-America Apartment Communities, Inc.",18.97B
386,L,Loews Corporation,18.90B
387,ZBRA,Zebra Technologies Corporation,18.75B
388,PKG,Packaging Corporation of America,18.75B
389,COO,"The Cooper Companies, Inc.",18.67B
390,PFG,"Principal Financial Group, Inc.",18.62B
391,LUV,Southwest Airlines Co.,18.59B
392,TER,"Teradyne, Inc.",18.44B
393,CLX,The Clorox Company,18.28B
394,TRMB,Trimble Inc.,18.28B
395,BBY,"Best Buy Co., Inc.",18.15B
396,JBL,Jabil Inc.,18.12B
397,DGX,Quest Diagnostics Incorporated,18.05B
398,FSLR,"First Solar, Inc.",18.02B
399,FFIV,"F5, Inc.",17.79B
400,SNA,Snap-on Incorporated,17.77B
401,FDS,FactSet Research Systems Inc.,17.75B
402,BLDR,"Builders FirstSource, Inc.",17.72B
403,NI,NiSource Inc.,17.70B
404,NWS,News Corporation,17.40B
405,ULTA,"Ulta Beauty, Inc.",17.38B
406,GEN,Gen Digital Inc.,17.03B
407,JBHT,"J.B. Hunt Transport Services, Inc.",16.71B
408,MAS,Masco Corporation,16.67B
409,TPR,"Tapestry, Inc.",16.64B
410,RL,Ralph Lauren Corporation,16.61B
411,ARE,"Alexandria Real Estate Equities, Inc.",16.61B
412,NWSA,News Corporation,16.47B
413,OMC,Omnicom Group Inc.,16.47B
414,J,Jacobs Solutions Inc.,16.41B
415,GPC,Genuine Parts Company,16.37B
416,PNR,Pentair plc,16.17B
417,DPZ,"Domino's Pizza, Inc.",16.12B
418,HRL,Hormel Foods Corporation,16.03B
419,DG,Dollar General Corporation,15.94B
420,MOH,"Molina Healthcare, Inc.",15.90B
421,ALGN,"Align Technology, Inc.",15.72B
422,BAX,Baxter International Inc.,15.63B
423,DLTR,"Dollar Tree, Inc.",15.62B
424,UDR,"UDR, Inc.",15.61B
425,EXPD,"Expeditors International of Washington, Inc.",15.45B
426,LNT,Alliant Energy Corporation,15.26B
427,KIM,Kimco Realty Corporation,15.12B
428,APTV,Aptiv PLC,15.07B
429,BALL,Ball Corporation,15.06B
430,EVRG,"Evergy, Inc.",15.00B
431,AKAM,"Akamai Technologies, Inc.",14.97B
432,IEX,IDEX Corporation,14.84B
433,EPAM,"EPAM Systems, Inc.",14.77B
434,CF,"CF Industries Holdings, Inc.",14.63B
435,BF.B,Brown-Forman Corporation,14.58B
436,EG,"Everest Group, Ltd.",14.53B
437,HOLX,"Hologic, Inc.",14.49B
438,AMCR,Amcor plc,14.47B
439,RVTY,"Revvity, Inc.",14.47B
440,AVY,Avery Dennison Corporation,14.39B
441,INCY,Incyte Corporation,14.28B
442,DVA,DaVita Inc.,14.23B
443,DOC,"Healthpeak Properties, Inc.",14.17B
444,TXT,Textron Inc.,13.61B
445,REG,Regency Centers Corporation,13.48B
446,SWK,"Stanley Black & Decker, Inc.",13.33B
447,KMX,"CarMax, Inc.",13.11B
448,CPT,Camden Property Trust,12.90B
449,BXP,"BXP, Inc.",12.82B
450,VTRS,Viatris Inc.,12.81B
451,JKHY,"Jack Henry & Associates, Inc.",12.68B
452,SOLV,Solventum Corporation,12.68B
453,POOL,Pool Corporation,12.62B
454,MRNA,"Moderna, Inc.",12.55B
455,UHS,"Universal Health Services, Inc.",12.40B
456,NDSN,Nordson Corporation,12.24B
457,NCLH,Norwegian Cruise Line Holdings Ltd.,12.02B
458,CAG,"Conagra Brands, Inc.",11.85B
459,JNPR,"Juniper Networks, Inc.",11.82B
460,HST,"Host Hotels & Resorts, Inc.",11.72B
461,TECH,Bio-Techne Corporation,11.51B
462,EMN,Eastman Chemical Company,11.43B
463,CHRW,"C.H. Robinson Worldwide, Inc.",11.42B
464,CPB,The Campbell's Company,11.19B
465,ALLE,Allegion plc,11.19B
466,TAP,Molson Coors Beverage Company,11.18B
467,PAYC,"Paycom Software, Inc.",11.16B
468,AIZ,"Assurant, Inc.",11.03B
469,SJM,The J. M. Smucker Company,10.99B
470,BEN,"Franklin Resources, Inc.",10.73B
471,SWKS,"Skyworks Solutions, Inc.",10.56B
472,GL,Globe Life Inc.,10.36B
473,DAY,Dayforce Inc.,10.34B
474,MGM,MGM Resorts International,10.29B
475,IPG,"The Interpublic Group of Companies, Inc.",10.24B
476,PNW,Pinnacle West Capital Corporation,9.89B
477,HSIC,"Henry Schein, Inc.",9.85B
478,BG,Bunge Global SA,9.72B
479,LKQ,LKQ Corporation,9.68B
480,FRT,Federal Realty Investment Trust,9.50B
481,AOS,A. O. Smith Corporation,9.45B
482,ALB,Albemarle Corporation,9.09B
483,WYNN,"Wynn Resorts, Limited",8.77B
484,WBA,"Walgreens Boots Alliance, Inc.",8.75B
485,ENPH,"Enphase Energy, Inc.",8.58B
486,MOS,The Mosaic Company,8.53B
487,MTCH,"Match Group, Inc.",8.50B
488,IVZ,Invesco Ltd.,8.47B
489,GNRC,Generac Holdings Inc.,8.46B
490,LW,"Lamb Weston Holdings, Inc.",8.40B
491,CRL,"Charles River Laboratories International, Inc.",8.38B
492,HAS,"Hasbro, Inc.",8.24B
493,APA,APA Corporation,8.02B
494,TFX,Teleflex Incorporated,7.95B
495,MHK,"Mohawk Industries, Inc.",7.60B
496,MKTX,MarketAxess Holdings Inc.,7.59B
497,CZR,"Caesars Entertainment, Inc.",7.59B
498,AES,The AES Corporation,7.52B
499,CE,Celanese Corporation,7.44B
500,PARA,Paramount Global,7.09B
501,HII,"Huntington Ingalls Industries, Inc.",6.59B
502,BWA,BorgWarner Inc.,6.56B
503,FMC,FMC Corporation,4.31B
